Index,Interest,Credit,Gender,Previous,Duration,Churn
0,17546,1,0,0,48,NO
1,30085.1,3,1,1,40,YES
2,16575.4,0,0,1,51,YES
3,20375.4,3,0,0,23,YES
4,50576.3,0,0,0,57,NO
5,37869.6,2,0,0,,YES
6,8877.1,0,,0,,YES
7,24946.6,0,,1,,YES
8,25304.3,2,,1,,NO
9,24212.1,2,,1,,YES
10,59803.9,0,,0,,YES
11,26658.8,0,0,1,52,YES
12,15735.8,1,0,0,44,YES
13,,1,0,1,66,YES
14,,0,1,0,36,YES
15,,0,0,1,38,YES
16,,2,0,0,37,NO
17,,0,0,0,46,NO
18,,0,0,0,62,NO
19,,0,1,1,31,YES
20,,2,1,0,61,NO
21,,2,1,0,50,YES
22,,0,1,0,54,YES
23,,0,0,1,27,YES
24,,2,1,1,22,YES
25,41034,0,1,1,56,YES
26,20809.7,0,1,0,45,YES
27,20114,1,0,0,39,YES
28,29359.1,3,0,1,39,YES
29,24270.1,1,1,0,61,YES
30,22942.9,2,0,0,61,YES
31,16325.8,2,,0,20,NO
32,23443.2,1,,1,45,YES
33,29921.3,3,,1,33,NO
34,37521.9,0,,0,,YES
35,19868,2,0,0,,YES
36,10953,3,1,1,19,YES
37,13381,0,0,1,36,YES
38,18504.3,0,0,1,43,YES
39,25391.5,2,0,0,66,YES
40,26774.2,0,1,0,55,YES
41,26952.6,0,0,1,47,YES
42,55716.5,2,1,1,67,NO
43,27571.5,0,0,1,32,YES
44,13740,2,,1,,YES
45,52670.6,2,,0,,YES
46,13283.9,1,0,1,,YES
47,13106.6,2,1,0,,YES
48,39547.8,2,1,1,,YES
49,17867.3,2,0,1,47,NO
50,14309.7,2,1,1,24,NO
51,,0,1,0,36,NO
52,,1,1,0,43,YES
53,,1,1,0,48,YES
54,,0,1,0,63,YES
55,,3,0,0,52,NO
56,,0,0,0,58,YES
57,23124.9,0,1,0,28,YES
58,15143.8,0,0,0,29,YES
59,25334.3,1,1,1,34,YES
60,24763.3,1,0,0,42,YES
61,36589,1,0,1,65,YES
62,27022.6,2,1,0,47,YES
63,11700.4,0,1,0,20,NO
64,5014.2,0,1,1,21,YES
65,17390.1,0,1,0,,YES
66,10861,2,1,0,,YES
67,,0,0,0,,YES
68,,2,1,0,,YES
69,10441.9,2,0,0,,YES
70,14064.9,3,1,1,25,YES
71,8062.7,0,1,0,21,YES
72,31982,3,,1,36,YES
73,23197.5,2,,0,58,NO
74,52674,2,,1,64,YES
75,35610.5,2,0,1,59,NO
76,26948,0,0,0,45,YES
77,49456.7,1,1,1,61,YES
78,14724.5,0,0,1,30,YES
79,34524.9,2,0,1,58,NO
80,22052.1,3,0,0,50,YES
81,27808.1,3,1,0,30,YES
82,12591.4,1,0,0,29,YES
83,16394.4,1,1,0,35,YES
84,24026.1,0,1,0,62,YES
85,31683.1,1,1,1,36,YES
86,15525,0,0,0,25,YES
87,22562.2,0,,1,66,YES
88,15848.7,0,,1,30,NO
89,31095.6,2,,0,54,YES
90,24814.5,1,1,1,37,YES
91,25429.3,2,0,0,28,YES
92,34866.5,0,0,0,53,YES
93,42579.1,2,1,1,61,YES
94,41127.4,0,0,1,61,NO
95,9990.1,0,0,0,18,YES
96,,1,1,0,22,NO
97,,2,1,1,34,YES
98,,2,0,0,,YES
99,,0,0,1,,YES
100,,1,1,0,,YES
101,,2,0,1,27,YES
102,15499.9,0,1,1,42,YES
103,33088.5,0,1,0,43,YES
104,34513.6,1,0,0,64,YES
105,32395.5,3,1,1,43,YES
106,46633,0,1,1,49,NO
107,13039.9,0,1,0,23,YES
108,12681.9,0,1,0,23,YES
109,24031.5,2,0,1,30,YES
110,37330.5,2,1,0,36,YES
111,25333.2,3,1,1,34,NO
112,,0,0,1,51,YES
113,,2,1,1,36,YES
114,43228.2,1,1,1,56,YES
115,47796.8,0,0,0,54,YES
116,21730.3,2,0,0,56,NO
117,10044.1,3,1,0,26,YES
118,17270.1,0,,1,39,NO
119,45765,3,,1,64,YES
120,29525.5,2,,0,46,NO
121,54863.8,1,,1,62,YES
122,20799,1,0,0,36,NO
123,33028.3,1,0,0,35,YES
124,45031.9,3,1,1,47,NO
